bookTitle,authorName,average_rating,num_ratings,genres
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"8,693,386",Nonfiction
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,"3,393,240",Young Adult
Pride and Prejudice,Jane Austen,4.29,"4,280,986",Graphic Novel
To Kill a Mockingbird,Harper Lee,4.26,"6,141,418",Thriller
The Book Thief,Markus Zusak,4.39,"2,565,715",Biography
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.65,"6,594,950",Romance
Animal Farm,George Orwell,3.99,"3,897,770",Romance
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,"133,872",Thriller
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,4.27,"652,335",Young Adult
The Fault in Our Stars,John Green,4.14,"5,152,789",Adventure
The Picture of Dorian Gray,Oscar Wilde,4.12,"1,541,561",Thriller
The Giving Tree,Shel Silverstein,4.38,"1,129,366",Thriller
Gone with the Wind,Margaret Mitchell,4.31,"1,209,133",Horror
Wuthering Heights,Emily Brontë,3.89,"1,810,825",Science Fiction
The Perks of Being a Wallflower,Stephen Chbosky,4.23,"1,798,638",Mystery
Jane Eyre,Charlotte Brontë,4.15,"2,098,726",Mystery
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,"3,023,914",Historical
The Great Gatsby,F. Scott Fitzgerald,3.93,"5,255,511",Philosophy
The Little Prince,Antoine de Saint-Exupéry,4.32,"2,118,623",Mystery
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,3.92,"2,356,163",Biography
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,"564,869",Young Adult
Crime and Punishment,Fyodor Dostoevsky,4.27,"907,454",Nonfiction
"Divergent (Divergent, #1)",Veronica Roth,4.14,"3,984,876",Philosophy
Memoirs of a Geisha,Arthur Golden,4.15,"2,004,023",Horror
Les Misérables,Victor Hugo,4.2,"798,897",Self-Help
The Alchemist,Paulo Coelho,3.91,"3,068,233",Biography
Lord of the Flies,William Golding,3.69,"2,910,878",Fantasy
Romeo and Juliet,William Shakespeare,3.74,"2,609,205",Biography
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.31,"982,129",Romance
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,"2,003,702",Poetry
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,"1,845,482",Nonfiction
The Help,Kathryn Stockett,4.47,"2,770,888",Self-Help
Dracula,Bram Stoker,4.01,"1,278,255",Mystery
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,"1,376,894",Philosophy
Charlotte’s Web,E.B. White,4.2,"1,840,401",Graphic Novel
Of Mice and Men,John Steinbeck,3.88,"2,553,740",Romance
Fahrenheit 451,Ray Bradbury,3.97,"2,425,374",Mystery
The Catcher in the Rye,J.D. Salinger,3.8,"3,532,329",Fiction
Brave New World,Aldous Huxley,3.99,"1,860,553",Mystery
